REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
SIMPLICITY,NGCC,1,2014,GAS,ID,3.3418656527999997
SIMPLICITY,NGCC,1,2014,GAS,IN,4.458495396
SIMPLICITY,NGCC,1,2014,GAS,SD,4.1773321656
SIMPLICITY,NGCC,1,2014,GAS,SN,2.7865595976
SIMPLICITY,NGCC,1,2014,GAS,WD,5.571447309599999
SIMPLICITY,NGCC,1,2014,GAS,WN,5.5697762208
SIMPLICITY,NGCC,1,2015,GAS,ID,3.3584693712
SIMPLICITY,NGCC,1,2015,GAS,IN,4.4806470336
SIMPLICITY,NGCC,1,2015,GAS,SD,4.1980866144
SIMPLICITY,NGCC,1,2015,GAS,SN,2.800404396
SIMPLICITY,NGCC,1,2015,GAS,WD,5.5991283408
SIMPLICITY,NGCC,1,2015,GAS,WN,5.5974488855999995
SIMPLICITY,NGCC,1,2016,GAS,ID,3.432431136
SIMPLICITY,NGCC,1,2016,GAS,IN,4.5793219488
SIMPLICITY,NGCC,1,2016,GAS,SD,4.2905389199999995
SIMPLICITY,NGCC,1,2016,GAS,SN,2.8620761183999996
SIMPLICITY,NGCC,1,2016,GAS,WD,5.7224349336
SIMPLICITY,NGCC,1,2016,GAS,WN,5.7207186264
SIMPLICITY,NGCC,1,2017,GAS,ID,3.5350719240000004
SIMPLICITY,NGCC,1,2017,GAS,IN,4.716258602400001
SIMPLICITY,NGCC,1,2017,GAS,SD,4.4188400544
SIMPLICITY,NGCC,1,2017,GAS,SN,2.9476616016
SIMPLICITY,NGCC,1,2017,GAS,WD,5.8935545064
SIMPLICITY,NGCC,1,2017,GAS,WN,5.891786606400001
SIMPLICITY,NGCC,1,2018,GAS,ID,4.1146909368
SIMPLICITY,NGCC,1,2018,GAS,IN,5.489547823200001
SIMPLICITY,NGCC,1,2018,GAS,SD,5.143363720799999
SIMPLICITY,NGCC,1,2018,GAS,SN,3.4309674144
SIMPLICITY,NGCC,1,2018,GAS,WD,6.859875897599999
SIMPLICITY,NGCC,1,2018,GAS,WN,6.8578183608
SIMPLICITY,NGCC,1,2019,GAS,ID,4.3909156008000005
SIMPLICITY,NGCC,1,2019,GAS,IN,5.8580684208
SIMPLICITY,NGCC,1,2019,GAS,SD,5.4886446504
SIMPLICITY,NGCC,1,2019,GAS,SN,3.6612928128
SIMPLICITY,NGCC,1,2019,GAS,WD,7.320388449599999
SIMPLICITY,NGCC,1,2019,GAS,WN,7.3181928672
SIMPLICITY,NGCC,1,2020,GAS,ID,4.6626120504
SIMPLICITY,NGCC,1,2020,GAS,IN,6.2205476808
SIMPLICITY,NGCC,1,2020,GAS,SD,5.8282651128000005
SIMPLICITY,NGCC,1,2020,GAS,SN,3.8878423752000004
SIMPLICITY,NGCC,1,2020,GAS,WD,7.77335172
SIMPLICITY,NGCC,1,2020,GAS,WN,7.771020084
SIMPLICITY,NGCC,1,2021,GAS,ID,5.106382838400001
SIMPLICITY,NGCC,1,2021,GAS,IN,6.812597172000001
SIMPLICITY,NGCC,1,2021,GAS,SD,6.382978548
SIMPLICITY,NGCC,1,2021,GAS,SN,4.257873307200001
SIMPLICITY,NGCC,1,2021,GAS,WD,8.513191476
SIMPLICITY,NGCC,1,2021,GAS,WN,8.5106381304
SIMPLICITY,NGCC,1,2022,GAS,ID,5.328268332
SIMPLICITY,NGCC,1,2022,GAS,IN,7.108621917599999
SIMPLICITY,NGCC,1,2022,GAS,SD,6.6603352656
SIMPLICITY,NGCC,1,2022,GAS,SN,4.4428886736
SIMPLICITY,NGCC,1,2022,GAS,WD,8.883111453599998
SIMPLICITY,NGCC,1,2022,GAS,WN,8.880447153599999
SIMPLICITY,NGCC,1,2023,GAS,ID,5.714680874400001
SIMPLICITY,NGCC,1,2023,GAS,IN,7.6241481312
SIMPLICITY,NGCC,1,2023,GAS,SD,7.1433510432
SIMPLICITY,NGCC,1,2023,GAS,SN,4.7650924824
SIMPLICITY,NGCC,1,2023,GAS,WD,9.5273258472
SIMPLICITY,NGCC,1,2023,GAS,WN,9.524468124
SIMPLICITY,NGCC,1,2024,GAS,ID,5.8943023032
SIMPLICITY,NGCC,1,2024,GAS,IN,7.8637871256
SIMPLICITY,NGCC,1,2024,GAS,SD,7.3678779288000005
SIMPLICITY,NGCC,1,2024,GAS,SN,4.914866978400001
SIMPLICITY,NGCC,1,2024,GAS,WD,9.8267848008
SIMPLICITY,NGCC,1,2024,GAS,WN,9.8238372384
SIMPLICITY,NGCC,1,2025,GAS,ID,6.046754246400001
SIMPLICITY,NGCC,1,2025,GAS,IN,8.067178293600001
SIMPLICITY,NGCC,1,2025,GAS,SD,7.558442808
SIMPLICITY,NGCC,1,2025,GAS,SN,5.0419864584
SIMPLICITY,NGCC,1,2025,GAS,WD,10.0809474672
SIMPLICITY,NGCC,1,2025,GAS,WN,10.077923810400002
SIMPLICITY,NGCC,1,2026,GAS,ID,6.2807150448
SIMPLICITY,NGCC,1,2026,GAS,IN,8.3793133392
SIMPLICITY,NGCC,1,2026,GAS,SD,7.8508939056
SIMPLICITY,NGCC,1,2026,GAS,SN,5.2370707871999995
SIMPLICITY,NGCC,1,2026,GAS,WD,10.470999194400001
SIMPLICITY,NGCC,1,2026,GAS,WN,10.467858408
SIMPLICITY,NGCC,1,2027,GAS,ID,6.522222933599999
SIMPLICITY,NGCC,1,2027,GAS,IN,8.701517148
SIMPLICITY,NGCC,1,2027,GAS,SD,8.152778716799999
SIMPLICITY,NGCC,1,2027,GAS,SN,5.4384482424
SIMPLICITY,NGCC,1,2027,GAS,WD,10.8736329912
SIMPLICITY,NGCC,1,2027,GAS,WN,10.8703716888
SIMPLICITY,NGCC,1,2028,GAS,ID,6.0000000144
SIMPLICITY,NGCC,1,2028,GAS,IN,8.2372942968
