TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
ID,2015,SIMPLICITY,GasImport2,1,0.47319006909
ID,2015,SIMPLICITY,NGCC2,1,0.2796631547799999
ID,2015,SIMPLICITY,TD,1,0.2796631547799999
IN,2015,SIMPLICITY,GasImport2,1,0.3154600404899999
IN,2015,SIMPLICITY,NGCC2,1,0.18644210165
IN,2015,SIMPLICITY,TD,1,0.18644210165
SD,2015,SIMPLICITY,GasImport2,1,0.5914875738599998
SD,2015,SIMPLICITY,NGCC2,1,0.34957895181
SD,2015,SIMPLICITY,TD,1,0.34957895181
SN,2015,SIMPLICITY,GasImport2,1,0.19716252843
SN,2015,SIMPLICITY,NGCC2,1,0.11652631249
SN,2015,SIMPLICITY,TD,1,0.11652631249
WD,2015,SIMPLICITY,GasImport2,1,1.5773002208699998
WD,2015,SIMPLICITY,NGCC2,1,0.9322105362899998
WD,2015,SIMPLICITY,TD,1,0.9322105362899998
WN,2015,SIMPLICITY,GasImport2,1,0.7886500984799999
WN,2015,SIMPLICITY,NGCC2,1,0.46610526907999994
WN,2015,SIMPLICITY,TD,1,0.46610526907999994
